date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:13	1032/1032	---M--	200	added ('OK')	image/png	etag:%22408-5eceeef1fe8bd%22	https://www.miniorange.com/images/sub_bullet.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/sub_bullet.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:13	5751/5751	---M--	200	added ('OK')	image/png	etag:%221677-5eceeef46f8b9%22	https://www.miniorange.com/images/seperator.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/seperator.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:13	1317/1317	---M--	200	added ('OK')	image/png	etag:%22525-5eceeef296e3c%22	https://www.miniorange.com/images/bullet_2.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/bullet_2.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:14	1036/1036	---M--	200	added ('OK')	image/png	etag:%2240c-5eceeef1cdb7e%22	https://www.miniorange.com/images/bullet.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/bullet.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:15	21886/21886	---M--	200	added ('OK')	image/jpeg	etag:%22557e-5eceeef3f385a%22	https://www.miniorange.com/images/home_pattern.jpg	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/home_pattern.jpg	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:16	403/403	---M--	200	added ('OK')	image/png	etag:%22193-5eceeeef50061%22	https://www.miniorange.com/images/pattern_light.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/pattern_light.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:17	32548/32548	---M--	200	added ('OK')	image/png	etag:%227f24-5eceeef23c11d%22	https://www.miniorange.com/images/contact-us-imgs/map.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/contact-us-imgs/map.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:22	88139/88139	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202024%2004:35:18%20GMT	https://www.miniorange.com/images/iam/customer-back.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/iam/customer-back.png	(from https://www.miniorange.com/css/iam.min.css?ver=2.0)
10:05:23	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jul%202024%2004:35:24%20GMT	http://www.miniorange.com/robots.txt		(from https://www.miniorange.com/iam/content-library/)
10:05:26	98789/98789	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:35:26%20GMT	https://www.miniorange.com/iam/content-library/admin-docs/index	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/admin-docs/index-2.html	(from https://www.miniorange.com/iam/content-library/admin-docs/manage-groups)
10:05:28	100257/100257	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:35:28%20GMT	https://www.miniorange.com/iam/content-library/admin-docs/configure-app	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/admin-docs/configure-app.html	(from https://www.miniorange.com/iam/content-library/admin-docs/manage-groups)
10:05:30	149757/149757	---M--	200	added ('OK')	image/png	etag:%22248fd-6174b78ce4a7f%22	https://www.miniorange.com/images/header/miniorange-og-img.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/header/miniorange-og-img.png	(from https://www.miniorange.com/iam/content-library/admin-docs/manage-groups)
10:05:31	109013/109013	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:35:29%20GMT	https://www.miniorange.com/iam/content-library/admin-docs/how-to-add-saml-app	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/admin-docs/how-to-add-saml-app.html	(from https://www.miniorange.com/iam/content-library/admin-docs/manage-groups)
10:05:32	102282/102282	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:35:32%20GMT	https://www.miniorange.com/iam/content-library/admin-docs/how-to-add-ws-fed-app	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/admin-docs/how-to-add-ws-fed-app.html	(from https://www.miniorange.com/iam/content-library/admin-docs/manage-groups)
10:05:33	107345/107345	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:35:33%20GMT	https://www.miniorange.com/iam/content-library/admin-docs/how-to-add-oauth-app	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/admin-docs/how-to-add-oauth-app.html	(from https://www.miniorange.com/iam/content-library/admin-docs/manage-groups)
10:05:33	105151/105151	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:35:34%20GMT	https://www.miniorange.com/iam/content-library/admin-docs/how-to-add-jwt-app	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/admin-docs/how-to-add-jwt-app.html	(from https://www.miniorange.com/iam/content-library/admin-docs/manage-groups)
